data_coleta,rodovia,impacto,aviso
2025-06-19,ERS-446,OBRAS COM IMPACTO NA RODOVIA,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, pare e siga para manutenção da faixa de domínio;"
2025-06-19,ERS-446,OBRAS SEM IMPACTO NA RODOVIA,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, limpeza da faixa de domínio;"
2025-06-19,BRS-470,OBRAS SEM IMPACTO NA RODOVIA,"*Km 230, próximo ao transportes Bertin em Carlos Barbosa, manutenção da sinalização;"
2025-06-19,RSC-287,OBRAS SEM IMPACTO NA RODOVIA,"*Km 00 ao 07, do trevo de Montenegro ao antigo Frigonal, serviços gerais da conserva;"
2025-06-19,RSC-453,OBRAS SEM IMPACTO NA RODOVIA,"*Km 101 ao 121, do trevo de entroncamento com a BRS-470 em Garibaldi ao entroncamento com a ERS-122 em Farroupilha, instalação de meios fios, manutenção de sinalização e sistema de drenagem;"
2025-06-19,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 09 ao 10, próximo à Borracharia Misturn Portão, estreitamento de pista pintura;"
2025-06-19,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 23 ao 26, do Viveiro Kelsh ao Viveiro do Luiz em Capela de Santana, pare e siga para manutenção de talude;"
2025-06-19,ERS-240,OBRAS SEM IMPACTO NO TRÁFEGO,"*Km 06 ao 13, da Volvo ao Hotel De Stefani em Portão, manutenção da faixa de domínio;"
2025-06-19,ERS-240,OBRAS SEM IMPACTO NO TRÁFEGO,"*Km 24, próximo a Casa do Chá em Capela de Santana, instalação de tubulação;"
2025-06-19,ERS-240,OBRAS SEM IMPACTO NO TRÁFEGO,"*Km 31 ao 33, próximo ao Posto Paradouro em Montenegro, serviços gerais da conserva;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 30 ao 43, da Tenda Bom Princípio ao refúgio em curva em São Vendelino, pare e siga para reparo localizado, manutenção do sistema de drenagem, pintura e concretagem de canaleta;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 50 ao 51, próximo ao Bar da Janete em Farroupilha, estreitamento de pista sentido capital para conformação de terreno e concretagem;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 55 ao 60, do Posto Vila Nova ao Restaurante Beija Flor em Farroupilha, estreitamento de pista para pintura;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 100 ao 120, da Mecânica Boff em Flores da Cunha ao Ciconetto Implementos em Antônio Prado, pare e siga para manutenção do sistema de drenagem e manutenção da faixa de domínio;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 124, próximo a Viprado em Antônio Prado, estreitamento de pista para limpeza de queda de barreira;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 149, próximo ao Posto Porteirinha em Ipê, pare e siga para reconstrução de canaleta;"
2025-06-19,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 155, próximo ao posto Kamboim em Campestre da Serra, pare e siga para reparo em guarda corpo;"
2025-06-19,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 08 ao 50, do Vale do Caí Acessórios em São Sebastião do Caí ao trevo de Alto Feliz em Farroupilha, serviços gerais da conserva e manutenção do sistema de drenagem e da faixa de domínio;"
2025-06-19,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 63 ao 65, próximo ao Gardens Motel em Caxias do Sul, manutenção do sistema de drenagem;"
2025-06-19,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 69 ao 168, do trevo de contorno de Caxias do Sul ao trevo de acesso a BR-116 em Campestre da Serra, manutenção da faixa de domínio, sistema de drenagem e sinalização e serviços gerais da conserva;"
2025-06-20,ERS-446,OBRAS SEM IMPACTO NO TRAFEGO,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, limpeza da faixa de domínio;"
2025-06-20,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 15 ao 21, da Tenda do Dani ao trevo de Triunfo, serviços gerais da conserva;"
2025-06-20,RSC-453,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 119 ao 121, próximo ao entroncamento com a ERS-122 em Farroupilha, instalação de meios fios, manutenção de sinalização e faixa de domínio;"
2025-06-20,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 09 ao 10, próximo ao posto Sim Portão, estreitamento de pista pintura;"
2025-06-20,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 23 ao 26, do Viveiro Kelsh ao Viveiro do Luiz em Capela de Santana, pare e siga para manutenção de talude;"
2025-06-20,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 14, do viaduto da Scharlau em São Leopoldo ao Hotel De Stefani em Portão, manutenção da faixa de domínio e serviços gerais da conserva;"
2025-06-20,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 24, próximo ao Juliano Floricultura em Capela de Santana, instalação de tubulação;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 06 ao 10, do Ferro velho CDV ao GM Car em São Sebastião do Caí, estreitamento de pista para pintura;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 30 ao 39, da Tenda Bom Princípio ao refúgio em São Vendelino pare e siga para reparo localizado, manutenção do sistema de drenagem e instalação de gabarito e concretagem;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 42 ao 60, do pequeno refúgio em curva em Carlos Barbosa à Soprano em Farroupilha, pare e siga e estreitamento de pista para manutenção da faixa de domínio, pintura, reparo localizado, conformação de terreno e instalação de gabarito;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 100 ao 115, da Mecânica Boff em Flores da Cunha ao restaurante do Zeca em Antônio Prado, pare e siga para manutenção do sistema de drenagem e manutenção da faixa de domínio;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
2025-06-20,ERS-122,OBRAS COM IMPACTO NA RODOVIA,"*Km 149, próximo ao Posto Porteirinha em Ipê, pare e siga para reconstrução de canaleta;"
2025-06-20,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 15, do posto da PRE em Portão a entrada principal de São Sebastião do Caí, para manutenção da faixa de domínio;"
2025-06-20,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 39 ao 50, do refúgio em curva em Carlos Barbosa ao Trevo de Alto Feliz em Farroupilha, manutenção da faixa de domínio;"
2025-06-20,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 69 ao 168, do trevo de contorno de Caxias do Sul ao trevo de acesso a Campestre da Serra, para serviços gerais da conserva, manutenção do sistema de drenagem e faixa de domínio;"
2025-06-25,ERS-446,OBRAS COM IMPACTO NO TRAFEGO,"*Km 00 ao 12, do viaduto sobre a ERS-122 em São Vendelino a Ponte em Carlos Barbosa, pare e siga para manutenção da faixa de domínio e manutenção de meios fios;"
2025-06-25,ERS-446,OBRAS SEM IMPACTO NO TRAFEGO,"*km 00 ao 14, do Viaduto sobre a ERS-122 em São Vendelino ao trevo de acesso a Carlos Barbosa, manutenção do sistema de drenagem;"
2025-06-25,BRS-470,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 220 ao 233, do Trevo de Santa Tereza em Bento Gonçalves ao trevo de acesso a Montenegro em Carlos Barbosa, manutenção da faixa de domínio;"
2025-06-25,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 07, do trevo de Montenegro ao antigo Frigonal, serviços gerais da conserva;"
2025-06-25,RSC-453,OBRAS COM IMPACTO NO TRAFEGO,"*Km 120, próximo ao Trevo de Farroupilha, estreitamento de pista para manutenção de iluminação;"
2025-06-25,RSC-453,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 108, próximo a entrada de São Marcos em Farroupilha, manutenção do sistema de drenagem;"
2025-06-25,ERS-240,OBRAS COM IMPACTO NO TRAFEGO,"*Km 23 ao 26, do Viveiro Kelsh ao Viveiro do Luiz em Capela de Santana, pare e siga para manutenção de talude;"
2025-06-25,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 04, do viaduto da Scharlau a Churrascaria Modelo em São Leopoldo, manutenção da faixa de domínio;"
2025-06-25,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 31 ao 33, do Posto Paradouro ao trevo de Montenegro, serviços gerais da conserva;"
